Unnamed: 0,customer_id,firm_tx_count,firm_size_wallet,firm_name,total_wallet,firm_potential_wallet,firm_sow_fee,firm_sow_tx,customer_firms_count,total_tx_count,total_wallet_quintile,sow_bin
369911,0x8ffedfa3da6f1c9bffb3096546a0a11000bc869a,1,1.140259064,gem,27.193352307,26.053093243,0.0419315372053808,0.3333333333333333,2,3,3rd_quintile,Bin 1
686993,0x1c16752b014ea8558550ff1d8237b12d8690a341,10,2.393541613,opensea,3.106506404,0.7129647910000001,0.7704930560960788,0.6666666666666666,2,15,2nd_quintile,Bin 4
1692561,0x7d8ec94eac92a103f17785da37b661ef0cc9fde9,1,19.528312513,opensea,19.528312513,0.0,1.0,1.0,1,1,3rd_quintile,Bin 5
748564,0xa6ce0c8bc75a30f8dd87da39fa9cbee5aceebc19,39,19.785125332,gem,231.853761367,212.068636035,0.0853345022972572,0.156,4,250,5th_quintile,Bin 1
1317219,0x18c885a97ed862e7ee97e250407596d3d64a8fb3,1,6.5436,x2y2,1454.605246311,1448.061646311,0.004498540079238,0.0333333333333333,4,30,5th_quintile,Bin 1
864983,0x00bb8932dfda68e68f41b55e03898a4d2e96bdc8,13,4.93015312,gem,35.069176925,30.139023805,0.1405836564269464,0.1733333333333333,4,75,3rd_quintile,Bin 1
205569,0x09bb6179ea9293a37c298c96a3f62781bf2e3a4e,1,244.822794287,opensea,244.822794287,0.0,1.0,1.0,1,1,5th_quintile,Bin 5
538464,0x4744e59d2c4e2fe454da909f606e236412c2a5b9,38,780.753852059,opensea,913.819866059,133.066014,0.8543848531397449,0.9743589743589745,2,39,5th_quintile,Bin 5
1083182,0xf5a4918a90d55d7754db9f2c6dd8181369ad7757,1,4.68875,gem,1506.202486744,1501.513736744,0.0031129612660086,0.0294117647058823,3,34,5th_quintile,Bin 1
1493181,0xc13149c4f617622d62d5983980ee38108c68cd31,1,81.49778,opensea,81.49778,0.0,1.0,1.0,1,1,4th_quintile,Bin 5
780066,0x9e70b7e88afa56e1a5004e80ac79d66673e981f5,32,60.253295871,opensea,62.149555271,1.8962593999999984,0.969488769602108,0.9411764705882352,3,34,4th_quintile,Bin 5
700085,0x8603079c9e39f98f375d55ecd6eedf91e3518db8,8,73.33064241,opensea,73.33064241,0.0,1.0,0.8888888888888888,2,9,4th_quintile,Bin 5
1583229,0x1a4999048a9fa13125edce959de4a5713b76735f,1,0.0,blur,8592.0518451197,8592.0518451197,0.0,0.0021929824561403,6,456,5th_quintile,Bin 1
1649343,0x75e2fad8c4b79b1d14e28aabf52d0147651da08c,1,0.0,gem,466.732966928,466.732966928,0.0,0.0285714285714285,2,35,5th_quintile,Bin 1
927345,0x5453df7ea880f20ab4e93894340d7b229fc0ad29,4,9.766180749,opensea,9.766180749,0.0,1.0,1.0,1,4,2nd_quintile,Bin 5
1577090,0xe402716ca8c4d189279620c711457a4fdf04c115,1,24.294092774,looksrare,41.325672913,17.031580139,0.5878692604750714,0.5,2,2,3rd_quintile,Bin 3
940465,0x7147b6ab40dd6ed74583b883f8928cf0f0e65a3c,1,5.835231715,opensea,5.835231715,0.0,1.0,1.0,1,1,2nd_quintile,Bin 5
1270473,0x50cd1f25c0249554e06dd6243e8d16ed803861f7,4,0.018121749,opensea,0.018121749,0.0,1.0,1.0,1,4,1st_quintile,Bin 5
148979,0x5e9b144fa34ac9886e2fe0f0fbe098e9dad0cf57,20,607.440807033,opensea,607.440807033,0.0,1.0,1.0,1,20,5th_quintile,Bin 5
